A01	中国唱片总公司
A02	中国电影发行放映公司音像出版社
A03	中国国际电视总公司
A04	中国儿童电影制片厂音像出版社
A05	中国广播音像出版社
A06	北京广播学院音像教材出版社
A07	中国国际广播音像出版社
A08	北京北影录音录像公司
A09	中国长城艺术文化中心 (原中国长城音像出版社)
A10	北京电影学院音像出版社
A11	中央新影音像出版社 (原中央新闻纪录电影制片)
A12	中国录音录像出版总社
A13	北京东方影音公司
A14	中国儿童艺术剧院音像出版社
A15	电化教育音像出版社 (原中央电化教育馆音像出版社)
A16	北京外语音像出版社
A17	中国教育科学研究所音像出版社
A18	清华大学音像出版社
A19	中央广播电视大学音像出版社
A20	北京大学音像出版社
A21	北京师范大学音像出版社
A22	中经录音录像中心 (原中国经济录音录像中心)
A23	中国科学文化音像出版社
A24	北京天盛科学技术音像出版社 (原中国科学技术音像出版社)
A25	中国民族音像出版社
A26	国际文化交流音像出版社
A27	建设音像出版社
A28	电力工业部电化教育中心 (原能源部电力电化教育中心)
A29	中国电子音像出版社
A30	中国音像制品评价出版社
A31	北京航宇音像出版社
A32	中国冶金音像制品出版
A33	化工音像出版中心
A34	中水音像制作出版中心
A35	农业教育声像出版社
A36	中国农影音像出版社
A37	北京协和医学音像出版社
A38	中华医学音像出版社
A39	中国国际体育旅游公司音像部
A40	中国人口音像出版社
A41	南海声像公司
A42	语文音像出版社
A43	中国卫生科教音像出版社
A44	中国核工业音像出版社
A45	煤炭工业音像出版社
A46	北方科技声像出版社
A47	中国职工音像出版社
A48	中国青年教育音像出版社
A49	中华文艺音像联合出版社
A50	中国音乐家音像出版社
A51	中国文采声像出版公司
A52	中国科学技术协会声像中
A53	中国康艺音像出版社
A54	中共中央党校求索音像出版社
A55	开明文教音像出版社
A56	学苑音像出版社
A57	长征音像出版社 (原中国人民解放军音像出版社)
A58	中国华艺音像实业有限公司
A59	新兴卫生科技音像出版社
A60	中国三环音像社
A61	武警音像出版社
A62	北京科学教育电影制片厂音像出版社
A63	华盛音像出版社 (原中国华盛音像出版社)
A64	北京环球音像出版社
A65	九州音像出版公司
A66	新华音像中心
A67	北京财经音像出版社
A68	中新音像出版社 (原北京太极音像出版社)
A69	法制音像出版社
A70	金融音像出版社
A71	中国青少年音像出版社
C01	北京音像公司
C02	北京文化艺术音像出版社
C03	北京普教音像出版社
C04	北京高教音像出版社
C05	北京市青少年音像出版社
C06	北京法制教育音像出版社
C07	北京电视艺术中心音像出版社
C08	北京市外文音像出版社
C09	天津音像公司
C10	天津文化艺术音像出版社
C11	中纺音像出版社 (原纺织工业部音像教材出版社)
C12	河北音像出版社
C13	河北百灵音像出版社 (原河北太行音像公司)
C14	山西音像出版社
C15	山西教育音像出版社
C16	内蒙古音像出版社
C17	河北文化音像出版社
C18	内蒙古文化音像出版社
C19	天津北洋音像出版社 (原北洋音像出版公司)
C20	山西春秋音像出版社 (北岳文艺出版社、山西科技出版社音像部合并而成)
D01	半岛音像出版社
D02	实用医学音像出版社
D03	大连音像出版社
D04	辽宁教育音像出版社
D05	文化艺术音像出版社
D06	东北音像出版社
D07	吉林省长白山音像出版社
D08	吉林民族音像出版社
D09	吉林省教育音像制品出版社
D10	黑龙江音像出版社
D11	黑龙江省教育音像出版社
D12	哈尔滨工业大学音像教材出版社
D13	黑龙江商学院音像教材出版社
D14	辽宁广播电视音像出版社
D15	吉林文化音像出版社
D16	长春电影制片厂银声音像出版社
D17	黑龙江文化音像出版社
E01	中国唱片上海公司
E02	上海音像公司
E03	上海录像公司
E04	上海声像出版社
E05	上海外语音像出版社
E06	上海高教音像出版社
E07	上海音像出版社
E08	海文音像出版社
E09	上海教育音像出版社
E10	上海计划生育宣传教育中
E11	江苏音像出版社
E12	南京音像出版社
E13	浙江音像出版社
E14	浙江文艺音像出版社
E15	安徽音像出版社
E16	中国科学技术大学音像出版社
E17	福建省音像出版社
E18	福建教育音像出版社
E19	福建省长龙影视联合公司
E20	厦门音像出版社
E21	江西音像出版社
E22	齐鲁音像出版社
E23	江苏文化音像出版社
E24	江西文化音像出版社
E25	福建省文艺音像出版社
E26	山东文化音像出版社
E27	安徽文化音像出版社
E28	上海电影音像出版社
F01	黄河音像出版社
F02	河南省教育音像出版社
F03	解放军外语学院音像出版社
F04	扬子江音像出版社
F05	武汉音像出版社
F06	湖北音像艺术出版社
F07	武汉大学音像出版社
F08	湖南金峰音像出版发行总公司
F09	潇湘电影制片厂音像出版社
F10	湖南电子音像出版社 (原湖南省科教语言音像出版社、后更为华星音像出版发行公司)
F11	湖南省教育音像出版社
F12	太平洋影音公司
F13	中国唱片广州公司
F14	广州外语音像出版社
F15	广东音像教材出版社
F16	华南理工大学音像教材出版社
F17	汕头海洋音像出版社
F18	广东音像出版社
F19	珠海特区音像出版社
F20	广东嘉应音像出版社
F21	广州市新时代影音公司
F22	中山大学音像出版社
F23	珠江电影制片厂白天鹅音像出版社
F24	广东省科技音像出版社
F25	广东珠江音像出版社
F26	广东惠州音像出版社
F27	深圳市激光节目出版发行公司
F28	广州音像出版社
F29	深圳音像公司
F30	广东省语言影音出版公司
F31	中国唱片深圳公司
F32	海南省音像出版社
F33	广西音像出版社
F34	广西壮族自治区音像教材出版社
F35	广西金凤凰音像出版社 (原广西电影制片厂音像出版社)
F36	广西文化音像出版社 (原广西花山音像出版社)
F37	湖南文化音像出版社
F38	河南省银海音像出版社
F39	北部湾音像出版公司
F40	九通音像出版社 (原湖北少年儿童出版社、湖北科学技术出版社、湖北教育出版社、长江文艺出版社合并)
F41	南海潮音像出版社
F42	河南音像出版社
G01	中国唱片成都公司
G02	四川音像出版社
